Constraints(%),algorithm,NMI,RI,cost,runtime
2%,Greedy,0.05918008,0.5687163,8755.138,1.30E+10
2%,Greedy,0.08329958,0.5680529,7480.391,1.37E+10
2%,Greedy,0.07793863,0.5677895,7480.391,1.10E+10
2%,Greedy,0.07256691,0.5666856,8755.138,1.31E+10
2%,Greedy,0.0684468,0.569173,8755.138,1.59E+10
2%,Greedy,0.056085426,0.5597957,7480.391,1.19E+10
2%,Greedy,0.055706296,0.5782899,8755.138,1.30E+10
2%,Greedy,0.060880657,0.5796282,8755.138,1.31E+10
2%,Greedy,0.055283953,0.5586683,8755.138,1.42E+10
2%,Greedy,0.05963082,0.5630592,7480.391,1.20E+10
2%,Greedy,0.06924553,0.57324034,8755.138,7.83E+09
2%,Greedy,0.059925057,0.550866,7480.391,1.09E+10
2%,Greedy,0.062115744,0.5680579,8755.138,1.30E+10
2%,Greedy,0.06674169,0.57558525,8755.138,1.30E+10
2%,Greedy,0.064111926,0.55969906,8604.475,7.01E+09
2%,Greedy,0.05226699,0.55139786,8604.475,6.94E+09
2%,Greedy,0.065802895,0.5644308,8604.475,7.10E+09
2%,Greedy,0.06335222,0.5635536,8604.475,7.00E+09
2%,Greedy,0.047235902,0.51812464,7283.394,7.35E+09
2%,Greedy,0.076759204,0.5878766,7967.5527,9.67E+09
