Constraints(%),algorithm,ACC,Purity,F-1,ARI,NMI,RI,cost,runtime
0%,matching,0.5868704,0.5998425,0.6123121,0.9975357,0.011319356,0.46189472,0.67728275,1.49E+09
0%,matching,0.58689845,0.59984076,0.6123369,0.99753594,0.011327891,0.4618936,0.67728275,1.48E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.49E+09
0%,matching,0.5868248,0.5998513,0.61227804,0.9975353,0.011348968,0.46193781,0.67728275,1.46E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5869546,0.5998355,0.61238086,0.99753636,0.011310901,0.46187496,0.67728275,1.49E+09
0%,matching,0.5860111,0.5969682,0.61195266,0.9975377,0.005379926,0.45943445,0.64007324,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5860111,0.5969682,0.61195266,0.9975377,0.005379926,0.45943445,0.64007324,1.48E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.46E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.49E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.49E+09
0%,matching,0.5859655,0.5969682,0.6119144,0.9975373,0.00537317,0.4594335,0.64035356,1.49E+09
0%,matching,0.5860076,0.5969682,0.6119499,0.9975376,0.005377272,0.45943308,0.64007324,1.50E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.55E+09
0%,matching,0.5868283,0.5998513,0.61228085,0.9975353,0.011348655,0.4619392,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.47E+09
0%,matching,0.5943359,0.6033604,0.6148983,0.99755883,0.01935476,0.46238634,0.69615877,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58801556,0.59982675,0.6121287,0.99753326,0.01117153,0.4622163,0.67728275,1.49E+09
0%,matching,0.586083,0.59696645,0.61198336,0.9975382,0.005565489,0.45932606,0.675569,1.49E+09
0%,matching,0.5873439,0.599818,0.61257356,0.9975385,0.011171007,0.46173492,0.675569,1.46E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.57E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5860251,0.5969682,0.6119287,0.9975377,0.005300899,0.45932987,0.6397248,1.49E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.48E+09
0%,matching,0.58691597,0.5998478,0.6123455,0.997536,0.011338454,0.4618951,0.67728275,1.46E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.48E+09
0%,matching,0.5869581,0.59982324,0.6123926,0.9975365,0.011285676,0.46186897,0.67728275,1.46E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58603036,0.5969682,0.6119334,0.99753773,0.005291016,0.45931274,0.638764,1.49E+09
0%,matching,0.5835366,0.5969612,0.6079348,0.9974946,0.004255208,0.4618262,0.675569,1.51E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.58732986,0.5998197,0.61256224,0.9975383,0.011185971,0.46175313,0.675569,1.46E+09
0%,matching,0.58735615,0.5998425,0.61256707,0.9975383,0.011235366,0.46177426,0.675569,1.50E+09
0%,matching,0.58695984,0.5998355,0.6123852,0.9975364,0.011310518,0.461877,0.67728275,1.48E+09
0%,matching,0.5868476,0.59985656,0.6122898,0.9975354,0.011366101,0.4619449,0.67728275,1.48E+09
0%,matching,0.58683884,0.5998513,0.61228836,0.9975354,0.011354725,0.46193925,0.67728275,1.49E+09
0%,matching,0.5860637,0.59696645,0.6119703,0.9975381,0.005574599,0.45932347,0.675569,1.46E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,3.26E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.31E+09
0%,this work,0.5831789,0.5971471,0.6083204,0.99750286,0.006184371,0.45975572,0.6208031,2.25E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.27E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.30E+09
0%,this work,0.5826896,0.5971383,0.60786694,0.99749863,0.006198052,0.45973647,0.6208031,2.28E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.29E+09
0%,this work,0.58742106,0.6011806,0.61020637,0.9975125,0.014417167,0.46340847,0.6208031,2.24E+09
0%,this work,0.58824,0.5972961,0.6120058,0.9975383,0.005816377,0.45935,0.614499,2.27E+09
0%,this work,0.58763677,0.60132086,0.6102782,0.99751294,0.014691552,0.46352726,0.6208031,2.27E+09
0%,this work,0.58251774,0.5971471,0.60758275,0.9974955,0.006146115,0.45994288,0.6208031,2.26E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.28E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.29E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.26E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.28E+09
0%,this work,0.5879647,0.597938,0.6118289,0.9975351,0.006969921,0.4600751,0.62073225,2.48E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.27E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.27E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.5877648,0.6013086,0.6103703,0.997514,0.014730287,0.4634426,0.6208031,2.24E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.24E+09
0%,this work,0.587521,0.60129285,0.6102063,0.99751234,0.014654577,0.46350527,0.6208031,2.24E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.25E+09
0%,this work,0.58783317,0.60159624,0.61024565,0.99751204,0.015258468,0.4638004,0.6208031,2.23E+09
0%,this work,0.5879016,0.6013437,0.6104553,0.99751484,0.014792602,0.46344092,0.6208031,2.25E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5877806,0.60130686,0.61038405,0.9975141,0.014729152,0.4634419,0.6208031,2.23E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.28E+09
0%,this work,0.58778405,0.60130686,0.61038685,0.9975142,0.014729715,0.46344176,0.6208031,2.22E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.25E+09
0%,this work,0.58351034,0.5971576,0.608723,0.99750686,0.006247435,0.45965135,0.6208031,2.22E+09
0%,this work,0.59122837,0.60167867,0.61260074,0.9975354,0.015210453,0.4632796,0.6208031,2.22E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.24E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.58350503,0.59716463,0.60875887,0.99750733,0.006291104,0.4595999,0.6208031,2.22E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.24E+09
0%,this work,0.58495533,0.5998618,0.6096638,0.99750865,0.010070106,0.46286163,0.6563051,2.73E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.26E+09
0%,this work,0.5875228,0.60127527,0.6102234,0.9975125,0.014584899,0.46349883,0.6208031,2.22E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.24E+09
0%,this work,0.5878262,0.60158044,0.61024934,0.9975121,0.015229496,0.46377414,0.6208031,2.25E+09
0%,this work,0.5877473,0.6014963,0.61024535,0.9975123,0.015055507,0.4636914,0.6208031,2.28E+09
0%,this work,0.5835822,0.59716636,0.6088313,0.997508,0.006286866,0.4596162,0.6208031,2.23E+09
