Constraints(%),algorithm,NMI,RI,cost,runtime
0%,this work,0.022096006,0.6376056,248.04031,1.17E+08
0%,this work,0.06637009,0.5029054,259.12354,2.06E+08
0%,this work,0.05579538,0.6289891,248.50352,1.15E+08
0%,this work,0.038195528,0.50205314,241,1.70E+08
0%,this work,0.09122522,0.50622284,255.57973,1.72E+08
0%,this work,0.00799214,0.65995663,263.32678,1.13E+08
0%,this work,0.03902668,0.50049484,241,1.40E+08
0%,this work,0.038517248,0.5010085,244.56902,1.53E+08
0%,this work,0.038789734,0.5001861,241,1.44E+08
0%,this work,0.053718124,0.50500995,249.20073,1.44E+08
0%,this work,0.012681125,0.6368061,253.74791,1.14E+08
0%,this work,0.022093618,0.6376099,248.69861,1.14E+08
0%,this work,0.022009755,0.60334027,245.18564,1.19E+08
0%,this work,0.020848233,0.5067983,249.20073,1.43E+08
0%,this work,0.03437608,0.52515763,260.11536,1.32E+08
0%,this work,0.12026641,0.5043038,256.91245,1.22E+08
0%,this work,0.024418222,0.5209506,250.33777,1.18E+08
0%,this work,0.02060243,0.5066356,249.20073,1.46E+08
0%,this work,0.04608359,0.5016908,228.6963,1.53E+08
0%,this work,0.24865118,0.5537103,281.15656,1.23E+08
0%,this work,0.01884848,0.50576097,249.20073,1.47E+08
0%,this work,0.040604874,0.500458,241,1.37E+08
0%,this work,0.022575265,0.63680184,241.10164,1.13E+08
0%,this work,0.0496234,0.5030964,244.68347,1.55E+08
0%,this work,0.1024516,0.50942177,254,1.24E+08
0%,this work,0.07716139,0.5016728,255.32137,1.42E+08
0%,this work,0.11916452,0.6751757,301.6405,1.19E+08
0%,this work,0.06487646,0.6361026,250.6691,1.17E+08
0%,this work,0.10166669,0.6980302,277.55,1.16E+08
0%,this work,0.012654407,0.5051523,262.8726,1.80E+08
0%,this work,0.092417106,0.5064516,255.57973,1.32E+08
0%,this work,0.10397172,0.50922227,254,1.24E+08
0%,this work,0.03321617,0.50240505,247.6651,1.66E+08
0%,this work,0.12094968,0.50444734,261.41345,1.25E+08
0%,this work,0.010915862,0.63768697,249.4534,1.19E+08
0%,this work,0.049842853,0.56147844,243.74988,1.74E+08
0%,this work,0.012676591,0.50535816,270.80252,1.50E+08
0%,this work,0.02189654,0.50674134,249.20073,1.39E+08
0%,this work,0.07575836,0.5028825,259.12354,2.05E+08
0%,this work,0.04130037,0.50001854,241,1.59E+08
0%,this work,0.07201471,0.6285708,250.33777,1.78E+08
0%,this work,0.022356551,0.6371692,240.10414,1.11E+08
0%,this work,0.09147363,0.5061665,255.57973,1.37E+08
0%,this work,0.09322723,0.50637215,255.57973,1.31E+08
0%,this work,0.080371395,0.5028049,259.12354,2.24E+08
0%,this work,0.15535976,0.71833074,291.2473,1.18E+08
0%,this work,0.097051024,0.5065971,255.57973,1.29E+08
0%,this work,0.022730747,0.63654155,242.27464,1.09E+08
0%,this work,1.28E-06,0.64641666,256.75864,1.18E+08
0%,this work,0.048411306,0.5002988,243.25706,1.46E+08
0%,this work,0.05020508,0.62166363,249.0241,1.22E+08
0%,this work,0.028574692,0.65998435,279.043,1.18E+08
0%,this work,0.017456817,0.5022447,254.8843,1.70E+08
0%,this work,0.008182564,0.6596752,267.0599,1.18E+08
0%,this work,0.03885856,0.5001129,241,1.53E+08
0%,this work,0.02347669,0.5066987,249.20073,1.39E+08
0%,this work,0.004628782,0.5591036,279.14334,1.16E+08
