Constraints(%),algorithm,NMI,RI,cost,runtime
0%,this work,0.4322279,0.6941535,255.41518,277758
0%,this work,0.45191872,0.695804,250.03934,271849
0%,this work,0.3877479,0.65435153,330.2168,268648
0%,this work,0.4062936,0.67371297,262.88766,321241
0%,this work,0.40664512,0.67091984,312.42514,240781
0%,this work,0.33808386,0.60426587,390.16458,195937
0%,this work,0.39374435,0.6728242,276.63797,331660
0%,this work,0.4322279,0.6941535,255.41518,274018
0%,this work,0.43264788,0.68729764,272.11664,233229
0%,this work,0.3329591,0.59944135,391.18613,201396
0%,this work,0.4062936,0.67371297,262.88766,328594
2%,greedy,0.29421383,0.6184854,382.45453,2262786
2%,greedy,0.29421383,0.6184854,382.45453,1.06E+07
2%,greedy,0.40493733,0.62616646,382.1189,497816
2%,greedy,0.46084276,0.71180093,305.09323,502267
2%,greedy,0.4023339,0.6634292,292.73538,614673
2%,greedy,0.43574685,0.70710343,319.13812,525297
2%,greedy,0.3982387,0.6727607,385.24326,538133
2%,greedy,0.29930484,0.5989335,440.27063,529950
2%,greedy,0.3311172,0.65086013,427.03882,507231
2%,greedy,0.3266035,0.62864214,320.02365,2176118
2%,greedy,0.43996763,0.7025328,305.09323,584666
2%,greedy,0.3311172,0.65086013,425.10538,513608
2%,greedy,0.30381915,0.5771599,455.06177,508333
2%,greedy,0.41761333,0.67263377,284.09644,672696
2%,greedy,0.3090128,0.5875071,445.6714,524242
2%,greedy,0.42965725,0.65054274,337.1307,505125
2%,greedy,0.43197316,0.6966292,300.40082,516923
2%,greedy,0.43197316,0.6966292,300.40082,503820
2%,greedy,0.42367083,0.62915,417.11334,522027
2%,greedy,0.30685657,0.6019171,445.6714,508852
2%,greedy,0.3921765,0.69104296,417.86618,523085
2%,greedy,0.43996763,0.7025328,305.09323,514092
2%,greedy,0.3090128,0.5875071,445.6714,521936
2%,greedy,0.42272595,0.69542307,300.82574,518613
2%,greedy,0.42965725,0.65054274,342.16748,501449
2%,greedy,0.29980734,0.61188346,400.2329,506682
2%,greedy,0.31817156,0.62616646,355.16504,531278
2%,greedy,0.41421425,0.6874246,295.0435,516481
2%,greedy,0.40493733,0.62616646,402.0842,518605
2%,greedy,0.3813995,0.6867898,325.43674,518653
2%,greedy,0.42272595,0.69542307,300.82574,512479
2%,greedy,0.46084276,0.71180093,305.09323,513089
2%,greedy,0.41761333,0.67263377,284.09644,512746
2%,greedy,0.30811137,0.61543834,410.42627,509469
2%,greedy,0.3754484,0.6763791,336.21985,532686
2%,greedy,0.41860217,0.6885673,400.20447,904200
2%,greedy,0.37540296,0.6568273,360.5176,546346
2%,greedy,0.43148112,0.6444487,353.85083,507175
2%,greedy,0.43996763,0.7025328,305.09323,513036
2%,greedy,0.43996763,0.7025328,305.09323,505989
2%,greedy,0.40112498,0.6935187,600.0436,512981
2%,greedy,0.29930484,0.5989335,440.27063,516950
2%,greedy,0.30037442,0.61626357,395.2833,536839
2%,greedy,0.38957936,0.62330985,735.01355,510524
2%,greedy,0.2980679,0.6120104,400.20447,506336
2%,greedy,0.32437167,0.6461626,535.024,514260
2%,greedy,0.4094678,0.690916,630.1306,514652
2%,greedy,0.3090128,0.5875071,445.6714,509216
2%,greedy,0.40506262,0.6690154,670.2329,519117
2%,greedy,0.30037442,0.61626357,395.2833,897419
2%,greedy,0.3245056,0.62826127,300.56958,541042
2%,greedy,0.4255804,0.7039929,740.12695,515763
2%,greedy,0.29351005,0.59880656,420.0017,1108311
2%,greedy,0.4258531,0.69409,420.0017,534441
2%,greedy,0.40242192,0.6960579,700.0901,639204
2%,greedy,0.37548384,0.6509871,680.2064,511982
2%,greedy,0.38957936,0.62330985,735.01355,513813
2%,greedy,0.32437167,0.6461626,536.6309,503951
2%,greedy,0.38957936,0.62330985,735.01355,609416
2%,greedy,0.3090128,0.5875071,445.6714,498467
2%,greedy,0.41860217,0.6885673,395.00525,536431
2%,greedy,0.34404165,0.65809685,595.0253,515386
2%,greedy,0.32605726,0.64730525,570.0084,514785
2%,greedy,0.41583005,0.64133817,700.0901,499466
2%,greedy,0.41860217,0.6885673,395.12036,518793
2%,greedy,0.41860217,0.6885673,395.00525,530029
2%,greedy,0.40493733,0.62616646,735.01355,508775
2%,greedy,0.41860217,0.6885673,395.2833,537539
2%,greedy,0.41860217,0.6885673,400.2329,525305
2%,greedy,0.34404165,0.65809685,610.3088,506559
2%,greedy,0.38957936,0.62330985,735.01355,506045
2%,greedy,0.29930484,0.5989335,440.27063,496085
2%,greedy,0.29704565,0.606805,415.25095,495963
2%,greedy,0.40506262,0.6690154,670.2329,679780
2%,greedy,0.38469774,0.6742208,645.0981,501144
2%,greedy,0.32437167,0.6461626,536.6309,509408
2%,greedy,0.40112498,0.6935187,600.0436,507372
2%,greedy,0.40112498,0.6935187,600.0436,516045
2%,greedy,0.41583005,0.64133817,700.0901,505031
2%,greedy,0.36746916,0.6804418,565.0166,524322
2%,greedy,0.38774788,0.65435153,615.3383,1009246
2%,greedy,0.29617274,0.59880656,420.0017,508089
2%,greedy,0.3311172,0.65086013,472.0208,511046
2%,greedy,0.3027909,0.6135339,400.2329,504384
