Constraints(%),algorithm,NMI,RI,cost,runtime
0%,Alg.1,1.40E-05,0.509457,2.342103,4.56E+07
0%,Alg.1,1.46E-04,0.5094692,2.5652194,5.00E+07
0%,Alg.1,6.32E-07,0.50948143,2.3667393,4.10E+07
0%,Alg.1,4.68E-05,0.5095182,2.4421422,5.44E+07
0%,Alg.1,8.66E-05,0.50948143,2.3684642,4.33E+07
0%,Alg.1,1.10E-04,0.50949365,2.3554144,5.03E+07
0%,Alg.1,1.48E-04,0.509457,2.4056091,4.10E+07
0%,Alg.1,1.82E-04,0.509457,2.3756537,4.31E+07
0%,Alg.1,0.009408421,0.50798035,2.430687,4.09E+07
0%,Alg.1,0.01672105,0.50677264,2.4836898,4.12E+07
0%,Alg.1,3.92E-04,0.50970286,2.8748243,4.23E+07
0%,Alg.1,4.68E-05,0.5095182,2.3891342,4.14E+07
0%,Alg.1,8.09E-05,0.5094937,2.4641435,4.46E+07
0%,Alg.1,7.28E-05,0.5095427,2.5708385,4.58E+07
0%,Alg.1,4.68E-05,0.5095182,2.471944,4.97E+07
0%,Alg.1,1.16E-04,0.5094692,2.436641,4.09E+07
0%,Alg.1,1.12E-04,0.50948143,2.430347,5.18E+07
0%,Alg.1,1.47E-04,0.50948143,2.3438194,4.56E+07
0%,Alg.1,5.36E-05,0.5095059,2.5533292,4.12E+07
0%,Alg.1,4.68E-05,0.5095182,2.3797882,4.56E+07
0%,Alg.1,4.68E-05,0.5095182,2.4134223,4.93E+07
0%,Alg.1,8.09E-05,0.5094937,2.3693297,4.52E+07
0%,Alg.1,7.59E-05,0.5095059,2.5111063,4.09E+07
0%,Alg.1,1.10E-04,0.50949365,2.453407,4.09E+07
0%,Alg.1,0.006975606,0.51136446,2.550855,5.50E+07
0%,Alg.1,1.10E-04,0.50949365,2.4774063,4.54E+07
0%,Alg.1,4.68E-05,0.5095182,2.3902822,4.31E+07
0%,Alg.1,3.82E-05,0.5095059,2.3963037,4.75E+07
0%,Alg.1,4.68E-05,0.5095182,2.44383,4.10E+07
0%,Alg.1,2.30E-04,0.509457,2.4677913,4.12E+07
0%,Alg.1,1.47E-04,0.50948143,2.3932085,4.09E+07
0%,Alg.1,8.09E-05,0.5094937,2.4338791,5.27E+07
0%,Alg.1,2.32E-05,0.5095304,2.4582682,4.76E+07
0%,Alg.1,1.16E-04,0.5094692,2.3669403,4.90E+07
0%,Alg.1,0.012653189,0.5074398,2.5025437,4.59E+07
0%,Alg.1,0.012354226,0.51372474,2.4790893,4.14E+07
0%,Alg.1,0.018683925,0.50645584,2.5369735,4.13E+07
0%,Alg.1,1.87E-05,0.5094448,2.299785,4.45E+07
0%,Alg.1,5.93E-05,0.50951815,2.2888813,5.42E+07
0%,Alg.1,0.005396245,0.51061416,2.5322857,4.32E+07
0%,Alg.1,0.002846788,0.51031864,2.4145422,4.45E+07
0%,Alg.1,1.47E-04,0.50948143,2.4193945,4.36E+07
0%,Alg.1,4.68E-05,0.5095182,2.441519,4.09E+07
0%,Alg.1,0.015762541,0.5069287,2.4833627,4.98E+07
2%,Greedy,0.003121322,0.50721395,2.9071338,1.05E+08
2%,Greedy,4.32E-04,0.5096781,3.0336814,5.87E+07
2%,Greedy,4.13E-04,0.5096658,3.0336814,5.38E+07
2%,Greedy,3.82E-04,0.5096411,3.0336814,5.52E+07
2%,Greedy,4.53E-04,0.5096905,3.0336814,6.49E+07
2%,Greedy,4.32E-04,0.5096781,3.0336814,5.92E+07
2%,Greedy,3.53E-04,0.50962883,3.0336814,3.29E+07
2%,Greedy,3.93E-04,0.50965345,3.0336814,3.56E+07
2%,Greedy,4.53E-04,0.5096905,3.0336814,6.06E+07
2%,Greedy,4.32E-04,0.5096781,3.0336814,6.62E+07
2%,Greedy,3.59E-04,0.5096288,3.0336814,5.67E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,5.62E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,6.42E+07
2%,Greedy,4.32E-04,0.5096781,3.0336814,5.07E+07
2%,Greedy,3.93E-04,0.50965345,3.0336814,4.60E+07
2%,Greedy,4.53E-04,0.5096905,3.0336814,3.82E+07
2%,Greedy,4.32E-04,0.5096781,3.0336814,4.51E+07
2%,Greedy,0.027143167,0.5021915,2.9071338,3.50E+07
2%,Greedy,0.001999515,0.50764716,2.9071338,4.01E+07
2%,Greedy,3.74E-04,0.5096411,3.0336814,3.94E+07
2%,Greedy,3.55E-04,0.5096288,3.0336814,4.96E+07
2%,Greedy,4.16E-04,0.5096658,3.0336814,3.34E+07
2%,Greedy,3.72E-04,0.5096411,3.0336814,2.15E+07
2%,Greedy,3.56E-04,0.50961643,3.0336814,1.23E+07
2%,Greedy,0.001745135,0.5077574,2.9071338,2.15E+07
2%,Greedy,3.95E-04,0.50965345,3.0336814,1.27E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,2.04E+07
2%,Greedy,0.001079265,0.5080817,2.9071338,1.29E+07
2%,Greedy,4.13E-04,0.5096658,3.0336814,2.20E+07
2%,Greedy,4.13E-04,0.5096658,3.0336814,1.32E+07
2%,Greedy,3.43E-04,0.50961643,3.0336814,2.05E+07
2%,Greedy,4.53E-04,0.5096905,3.0336814,1.26E+07
2%,Greedy,4.32E-04,0.5096781,3.0336814,2.05E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,5.80E+07
2%,Greedy,3.58E-04,0.5096165,3.0336814,2.11E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,2.50E+07
2%,Greedy,3.76E-04,0.5096411,3.0336814,1.38E+07
2%,Greedy,3.37E-04,0.50961643,3.0336814,1.36E+07
2%,Greedy,3.95E-04,0.50965345,3.0336814,1.41E+07
2%,Greedy,3.92E-04,0.50965345,3.0336814,1.38E+07
2%,Greedy,0.024496464,0.5051282,2.708238,2.23E+07
2%,Greedy,0.013657637,0.50674164,3.2440007,3.08E+07
2%,Greedy,0.012987088,0.50670046,3.2440007,2.35E+07
2%,Greedy,0.013597294,0.50675195,3.2440007,2.08E+07
2%,Greedy,0.02909366,0.50444144,2.708238,2.90E+07
2%,Greedy,0.013898287,0.50670046,3.2440007,2.36E+07
2%,Greedy,0.013422975,0.50670046,3.2440007,2.31E+07
2%,Greedy,0.013597294,0.50675195,3.2440007,2.15E+07
2%,Greedy,0.013200652,0.50670046,3.2440007,2.14E+07
2%,Greedy,0.013082584,0.506721,3.2440007,2.10E+07
2%,Greedy,0.013363793,0.50671077,3.2440007,2.79E+07
2%,Greedy,0.013200652,0.50670046,3.2440007,2.60E+07
2%,Greedy,0.013363793,0.50671077,3.2440007,2.97E+07
2%,Greedy,0.013597294,0.50675195,3.2440007,2.16E+07
2%,Greedy,0.023317765,0.5053098,2.708238,3.05E+07
2%,Greedy,0.002904827,0.50752676,2.869817,2.63E+07
2%,Greedy,0.013717611,0.50673133,3.2440007,2.14E+07
2%,Greedy,0.013422975,0.50670046,3.2440007,2.11E+07
2%,Greedy,0.01347598,0.50673133,3.2440007,2.89E+07
2%,Greedy,0.013597294,0.50675195,3.2440007,6.56E+07
2%,Greedy,0.022132624,0.50549465,2.708238,2.93E+07
2%,Greedy,0.01347598,0.50673133,3.2440007,2.42E+07
2%,Greedy,0.013244955,0.50673133,3.2440007,1.55E+07
2%,Greedy,0.01347598,0.50673133,3.2440007,2.27E+07
2%,Greedy,0.008793215,0.5067623,3.2440007,3.09E+07
2%,Greedy,0.01347598,0.50673133,3.2440007,2.18E+07
2%,Greedy,0.013200652,0.50670046,3.2440007,2.29E+07
2%,Greedy,0.08562168,0.50044894,2.7780948,2.26E+07
2%,Greedy,0.013777938,0.506721,3.2440007,2.22E+07
2%,Greedy,0.013363793,0.50671077,3.2440007,3.01E+07
2%,Greedy,0.024672797,0.50510126,2.708238,2.19E+07
2%,Greedy,0.013597294,0.50675195,3.2440007,2.21E+07
2%,Greedy,0.013898287,0.50670046,3.2440007,2.38E+07
2%,Greedy,0.013657637,0.50674164,3.2440007,2.28E+07
2%,Greedy,0.013595535,0.5067107,3.2440007,2.27E+07
2%,Greedy,0.013595535,0.5067107,3.2440007,2.88E+07
2%,Greedy,0.01347598,0.50673133,3.2440007,2.24E+07
2%,Greedy,0.013537259,0.5067623,3.2440007,2.29E+07
2%,Greedy,0.026894076,0.5047656,2.708238,2.18E+07
2%,Greedy,0.013777938,0.506721,3.2440007,2.24E+07
2%,Greedy,4.13E-04,0.5096658,3.0703542,1.82E+07
2%,Greedy,4.57E-04,0.5096905,3.0703542,1.80E+07
2%,Greedy,3.92E-04,0.50965345,3.0703542,3.19E+07
2%,Greedy,4.75E-04,0.5097029,3.0703542,1.90E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.80E+07
2%,Greedy,4.75E-04,0.5097029,3.0703542,2.57E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.80E+07
2%,Greedy,3.95E-04,0.50965345,3.0703542,1.90E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.85E+07
2%,Greedy,4.75E-04,0.5097029,3.0703542,1.73E+07
2%,Greedy,4.98E-04,0.50971526,3.0703542,1.74E+07
2%,Greedy,4.53E-04,0.5096905,3.0703542,2.38E+07
2%,Greedy,0.003547106,0.50705475,2.794231,1.74E+07
2%,Greedy,4.17E-04,0.5096658,3.0703542,1.77E+07
2%,Greedy,0.004607008,0.5067107,2.794231,2.57E+07
2%,Greedy,4.12E-04,0.50966585,3.0703542,1.75E+07
