Constraints(%),algorithm,NMI,RI,cost,runtime
0%,this work,0.014436563,0.12178972,6.244998,8.61E+07
0%,this work,0.014443452,0.12179316,6.4031243,1.04E+08
0%,this work,0.014436521,0.12178972,6.0827627,8.16E+07
0%,this work,0.030415956,0.14177221,7.2111025,5.90E+07
0%,this work,0.016227657,0.12323825,6.5574384,5.86E+07
0%,this work,0.016199915,0.12322452,6.4031243,6.20E+07
0%,this work,0.016227657,0.12323825,6.3245554,6.13E+07
0%,this work,0.014436563,0.12178972,6.164414,7.10E+07
0%,this work,0.014443452,0.12179316,6.4807405,8.14E+07
0%,this work,0.016213795,0.12323139,6.5574384,4.97E+07
0%,this work,0.014436521,0.12178972,6.244998,8.10E+07
0%,this work,0.016213795,0.12323139,6.164414,4.06E+07
0%,this work,0.014436521,0.12178972,6,6.22E+07
0%,this work,0.016213795,0.12323139,6.4031243,5.97E+07
0%,this work,0.014436521,0.12178972,6.244998,5.85E+07
0%,this work,0.030415956,0.14177221,7.2111025,5.93E+07
0%,this work,0.014450408,0.121796586,6.244998,5.80E+07
0%,this work,0.017959934,0.124661036,6.4031243,4.07E+07
0%,this work,0.016213795,0.12323139,6.3245554,4.16E+07
0%,this work,0.016213795,0.12323139,6.3245554,4.15E+07
0%,this work,0.014450408,0.121796586,6.164414,5.81E+07
0%,this work,0.016199915,0.12322452,6.4031243,6.00E+07
0%,this work,0.014436521,0.12178972,6.244998,5.82E+07
0%,this work,0.014443452,0.12179316,6.0827627,3.85E+07
0%,this work,0.014436563,0.12178972,6,4.28E+07
0%,this work,0.02359451,0.13181959,6.8556547,5.05E+07
0%,this work,0.014443452,0.12179316,6.3245554,4.14E+07
0%,this work,0.014436563,0.12178972,6.0827627,3.86E+07
0%,this work,0.014429671,0.12178629,6,8.29E+07
0%,this work,0.014443452,0.12179316,6.0827627,7.73E+07
0%,this work,0.014443452,0.12179316,6.164414,8.08E+07
0%,this work,0.014450408,0.121796586,6.244998,9.46E+07
0%,this work,0.014450408,0.121796586,6.164414,3.84E+07
0%,this work,0.016227657,0.12323825,6.4031243,1.19E+08
0%,this work,0.016227657,0.12323825,6.3245554,7.39E+07
0%,this work,0.016206862,0.123227954,6.4807405,4.19E+07
0%,this work,0.016849091,0.124667905,6.5574384,3.89E+07
0%,this work,0.014436521,0.12178972,6.0827627,5.83E+07
0%,this work,0.014443452,0.12179316,6.164414,3.84E+07
0%,this work,0.014436521,0.12178972,6.0827627,6.64E+07
0%,this work,0.016213795,0.12323139,6.244998,3.88E+07
0%,this work,0.014436563,0.12178972,6,5.62E+07
0%,this work,0.014429671,0.12178629,6,4.27E+07
0%,this work,0.016199915,0.12322452,6.4031243,5.96E+07
0%,this work,0.014436563,0.12178972,6.164414,5.82E+07
0%,this work,0.014443452,0.12179316,6.164414,3.85E+07
0%,this work,0.016213724,0.12323139,6.3245554,4.12E+07
0%,this work,0.014443452,0.12179316,6.244998,3.85E+07
0%,this work,0.028076693,0.13895068,7,5.79E+07
0%,this work,0.016213795,0.12323139,6.164414,3.86E+07
0%,this work,0.014436563,0.12178972,6.164414,3.88E+07
0%,this work,0.014436563,0.12178972,6.0827627,3.86E+07
0%,this work,0.016199915,0.12322452,6.4807405,6.50E+07
0%,this work,0.014443452,0.12179316,6.0827627,3.83E+07
0%,this work,0.014443452,0.12179316,6.0827627,3.83E+07
0%,this work,0.044634648,0.1518347,7.071068,5.76E+07
0%,this work,0.016213795,0.12323139,6.164414,4.90E+07
0%,this work,0.014450408,0.121796586,6.0827627,6.02E+07
0%,this work,0.014443417,0.12179316,6.0827627,6.02E+07
0%,this work,0.014443452,0.12179316,6.244998,5.85E+07
0%,this work,0.016213795,0.12323139,6.4031243,5.24E+07
0%,this work,0.016213795,0.12323139,6.3245554,5.23E+07
0%,this work,0.014443452,0.12179316,6.0827627,3.84E+07
0%,this work,0.016206846,0.123227954,6.3245554,5.20E+07
0%,this work,0.016199978,0.12322452,6.4807405,4.19E+07
0%,this work,0.046565764,0.1518347,7.071068,5.80E+07
0%,this work,0.016206862,0.123227954,6.4031243,5.10E+07
0%,this work,0.014443452,0.12179316,6.164414,3.86E+07
0%,this work,0.016213795,0.12323139,6.244998,3.84E+07
0%,this work,0.017037025,0.12609069,6.6332498,4.55E+07
0%,this work,0.014436563,0.12178972,6,4.28E+07
0%,this work,0.014443452,0.12179316,6.0827627,3.86E+07
0%,this work,0.014436563,0.12178972,6.244998,3.88E+07
0%,this work,0.014436563,0.12178972,6.244998,4.90E+07
0%,this work,0.016213795,0.12323139,6.708204,3.94E+07
0%,this work,0.014443452,0.12179316,6.0827627,4.90E+07
0%,this work,0.016227657,0.12323825,6.4807405,6.15E+07
0%,this work,0.016227657,0.12323825,6.3245554,6.09E+07
0%,this work,0.014436563,0.12178972,6.244998,4.13E+07
0%,this work,0.016213795,0.12323139,6.164414,5.08E+07
0%,this work,0.016206793,0.123227954,6.5574384,5.01E+07
